,open,high,low,close,volume
2021-05-24,389.78838459822936,392.57166364801725,389.5455399453994,391.4975891113281,51376700
2021-05-25,392.5810493076067,392.9359673967326,390.0499634392748,390.6290283203125,57451400
2021-05-26,391.21739734846744,391.9085355463097,390.1806900517041,391.4042053222656,43088600
2021-05-27,392.4316202322079,392.9452994425397,391.3294987126263,391.6097106933594,56707700
2021-05-28,393.1787779101102,393.4402919789062,392.0766849418198,392.3101806640625,58520200
2021-06-01,394.67323638964024,394.81332815085875,391.52571797502355,391.9646911621094,54216600
2021-06-02,392.6184525081131,393.4216927574089,391.6097633493774,392.5810852050781,49097100
2021-06-03,390.26480554943856,392.2635143648258,388.7984453863478,391.1240539550781,58138800
2021-06-04,392.9732978416649,395.0000532381176,391.1893871156072,394.701171875,55938800
2021-06-07,394.69182475887226,394.8692837876168,393.3842544177777,394.3182373046875,51555000
2021-06-08,395.17753710589864,395.2709411073429,392.57174503386995,394.40234375,47134300
2021-06-09,395.24286594873485,395.3176005403084,393.58972652208564,393.8138732910156,48436300
2021-06-10,395.0373870494079,396.5971509849046,393.7204677812437,395.64447021484375,51020100
2021-06-11,396.1956153911513,396.41041324763955,394.90671424062083,396.29833984375,45570800
2021-06-14,396.4103556235315,397.2883018302443,395.1681709071251,397.1855773925781,42358500
2021-06-15,397.335069122236,397.37240792096816,395.5791764832327,396.4571228027344,51508500
2021-06-16,396.59718555484613,396.8213323424478,392.19813383077667,394.2435302734375,80386100
2021-06-17,393.8326399762295,395.0934942745737,391.6377741374557,394.1128234863281,90949700
2021-06-18,390.82940868218697,391.52280806426444,388.5899013988071,388.7960510253906,118676300
2021-06-21,390.5576558078238,394.5494491775668,389.74243684552914,394.3620300292969,72822000
2021-06-22,394.352679752593,397.3043454678535,393.6311417670724,396.4703674316406,57700300
2021-06-23,396.54531142259333,397.35115077864344,395.9081321276498,395.9924621582031,49445400
2021-06-24,398.1383434268328,398.75676373658587,397.88532470396706,398.3351135253906,45110300
2021-06-25,399.08477157347613,400.1998499000936,398.75680231338544,399.75006103515625,58129500
2021-06-28,400.274777553691,400.72453776466034,399.07536933086004,400.5558776855469,53159600
2021-06-29,400.9400528954754,401.57723223614346,400.237273994288,400.7713928222656,35970500
2021-06-30,400.3122456149289,401.78340305544015,400.2841356012442,401.1087341308594,64827900
2021-07-01,401.86778124712555,403.48886848690523,401.8021816752853,403.3295593261719,53441000
2021-07-02,404.4914967088667,406.7684938220398,403.4138793575893,406.41241455078125,57697700
2021-07-06,406.4686382569822,406.68416744841574,402.936012721127,405.6721496582031,68710400
2021-07-07,406.35615449938257,407.38690265779184,404.3415272693066,407.10577392578125,63549500
2021-07-08,401.78341990828244,404.5476952865336,400.60274209170535,403.7886962890625,97595200
2021-07-09,405.2972630468599,408.3988582078336,403.591846106271,408.0989990234375,76238600
2021-07-12,408.014743954132,409.81387079491634,407.5837141699606,409.56085205078125,52889600
2021-07-13,408.7736505814926,410.2729178438437,407.9022116726275,408.1645812988281,52911300
2021-07-14,409.86071097096965,410.3479893837978,407.5274938195921,408.77374267578125,64130400
2021-07-15,407.4337224657248,408.10839135369446,405.4753153622365,407.37750244140625,55126400
2021-07-16,408.5582340881167,408.60507458251783,403.7887107543716,404.1822509765625,75874700
2021-07-19,399.35650617263855,404.24784908958907,395.40220190953943,398.21331787109375,147987000
2021-07-20,398.8785282705121,405.19418699140346,398.08203985333273,403.9197998046875,99608200
